"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","192240.0","192000.0","23130710.5","841438.021790138"
"2018","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Indonesia","","","1130232.0","1128000.0","22900002.76","833045.444988086"
"2018","01","1000 100","07132000","Dried chickpeas, shelled","Iran, Islamic Republic of","","","1082640.0","1080000.0","22488917.95","818091.196638717"
"2018","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","16477440.0","UN","71548.0","59219.0","22125335.76","804864.976081777"
"2018","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Togo","35600.0","UN","8728.05","8134.14","22012128.76","800746.785499918"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Kenya","","","2099354.0","2097000.0","21917834.96","797316.610342131"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","1093057.2","1090808.0","21220730.79","771957.685298023"
"2018","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","277080.0","273600.0","19963671.06","726228.962331072"
"2018","01","1000 100","26159000","-other","China","","","11566.0","11200.0","19691573.65","716330.731733935"
"2018","01","1071 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","1044080.0","1040000.0","18600037.64","676623.352189018"
"2018","01","1000 100","07133100","Dried beans, shelled","Indonesia","","","867408.0","864000.0","18041844.24","656317.657287328"
"2018","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","7293825.0","UN","35468.0","26993.0","16760269.75","609697.148001964"
"2018","01","1000 100","12074090","--OTHER","Jordan","","","451902.0","451000.0","16649029.74","605650.511649903"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","China","","","169492.5","167400.0","16135512.25","586970.015824224"
"2018","01","1071 100","06031100","--Roses","Saudi Arabia","","","168438.5","148189.26","15742755.38","572682.492588079"
"2018","01","3052 505","25232900","--other","Djibouti","","","5490120.0","5479675.0","15514049.45","564362.736681278"
"2018","01","3052 505","61159500","-- of cotton","France","265440.0","UN","39816.0","30968.0","15416458.69","560812.626275487"
"2018","01","3052 505","52094200","--Denim","Turkey","","","161945.0","160008.0","15309795.42","556932.480401608"
"2018","01","1071 100","12019000","-OTHER","Viet Nam","","","1322640.0","1320000.0","14949437.88","543823.564633769"
"2018","01","1071 100","06031100","--Roses","United Kingdom","","","152543.0","133970.67","14459198.2","525989.857945761"
"2018","01","1000 100","07132000","Dried chickpeas, shelled","Jordan","","","601440.0","600000.0","14378302.8","523047.083431856"
"2018","01","1071 100","12074090","--OTHER","China","","","380760.0","380000.0","14308014.22","520490.158787901"
"2018","01","3052 505","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","United Kingdom","","","18509.0","17845.0","14014742.48","509821.658451409"
